"","Park","EcoSite","EventYear","Plot","EventPanel","Transect","Quadrat","rownumber","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","simpson","shannon","invD"
"4040","WUPA","S",2015,"S11","B","C","5",4040,2,3,2.04124145231932,NA,NA,0.0624349635796047,0.142505867392738,1.06659267480577
"4041","WUPA","S",2019,"S11","B","A","1",4041,3,6,4.28660704987056,NA,NA,0.033878864345695,0.0939817956181206,1.03506689078151
"4042","WUPA","S",2019,"S11","B","A","2",4042,4,10,6.97137002317335,NA,NA,0.44399805210616,0.677497377106993,1.79855485001095
"4043","WUPA","S",2019,"S11","B","A","3",4043,3,6,4.28660704987056,NA,NA,0.268888250502729,0.524189241316229,1.36777996070727
"4044","WUPA","S",2019,"S11","B","A","4",4044,1,1,0,NA,NA,0.244897959183673,0.410116318288409,1.32432432432432
"4045","WUPA","S",2019,"S11","B","A","5",4045,3,6,4.28660704987056,NA,NA,0.538562582097954,0.836073123747524,2.1671411142741
"4046","WUPA","S",2019,"S11","B","B","1",4046,1,1,0,NA,NA,0,0,1
"4047","WUPA","S",2019,"S11","B","B","2",4047,0,0,NA,NA,NA,1,0,Inf
"4048","WUPA","S",2019,"S11","B","B","3",4048,5,15,10.041580220928,NA,NA,0.170798898071625,0.420512699687399,1.20598006644518
"4049","WUPA","S",2019,"S11","B","B","4",4049,2,3,2.04124145231932,NA,NA,0.0291198524594141,0.0769532195560156,1.02999325151841
"4050","WUPA","S",2019,"S11","B","B","5",4050,4,10,6.97137002317335,NA,NA,0.0604831440418245,0.161037932669951,1.06437685886981
"4051","WUPA","S",2019,"S11","B","C","1",4051,1,1,0,NA,NA,0,0,1
"4052","WUPA","S",2019,"S11","B","C","2",4052,2,3,2.04124145231932,NA,NA,0.0277722674072605,0.0740225961475812,1.02856559885738
"4053","WUPA","S",2019,"S11","B","C","3",4053,2,3,2.04124145231932,NA,NA,0.00793638196219137,0.0259898735319369,1.00799987200205
"4054","WUPA","S",2019,"S11","B","C","4",4054,1,1,0,NA,NA,0,0,1
"4055","WUPA","S",2019,"S11","B","C","5",4055,2,3,2.04124145231932,NA,NA,0.0277722674072605,0.0740225961475812,1.02856559885738
"4056","WUPA","S",2021,"S11","B","A","1",4056,3,6,4.28660704987056,NA,NA,0.145422856442587,0.318958159265446,1.17016937269961
"4057","WUPA","S",2021,"S11","B","A","2",4057,4,10,6.97137002317335,NA,NA,0.58801775147929,0.976714424535156,2.42728904847397
"4058","WUPA","S",2021,"S11","B","A","3",4058,5,15,10.041580220928,NA,NA,0.301982369194334,0.631710259933387,1.43262856963338
"4059","WUPA","S",2021,"S11","B","A","4",4059,2,3,2.04124145231932,NA,NA,0.467863894139887,0.727409342871751,1.87921847246892
"4060","WUPA","S",2021,"S11","B","A","5",4060,3,6,4.28660704987056,NA,NA,0.278124546378284,0.576722769553323,1.38528051477981
"4061","WUPA","S",2021,"S11","B","B","1",4061,2,3,2.04124145231932,NA,NA,0.00793638196219137,0.0259898735319369,1.00799987200205
"4062","WUPA","S",2021,"S11","B","B","2",4062,0,0,NA,NA,NA,1,0,Inf
"4063","WUPA","S",2021,"S11","B","B","3",4063,4,10,6.97137002317335,NA,NA,0.631578947368421,1.16309007314798,2.71428571428571
"4064","WUPA","S",2021,"S11","B","B","4",4064,2,3,2.04124145231932,NA,NA,0.033878864345695,0.0939817956181206,1.03506689078151
"4065","WUPA","S",2021,"S11","B","B","5",4065,5,15,10.041580220928,NA,NA,0.134768729011484,0.34334743940977,1.15576035394272
"4066","WUPA","S",2021,"S11","B","C","1",4066,1,1,0,NA,NA,0,0,1
"4067","WUPA","S",2021,"S11","B","C","2",4067,2,3,2.04124145231932,NA,NA,0.0277722674072605,0.0740225961475812,1.02856559885738
"4068","WUPA","S",2021,"S11","B","C","3",4068,3,6,4.28660704987056,NA,NA,0.0569799227071357,0.151880309364261,1.06042280973562
"4069","WUPA","S",2021,"S11","B","C","4",4069,2,3,2.04124145231932,NA,NA,0.0739644970414202,0.163023629494366,1.07987220447284
"4070","WUPA","S",2021,"S11","B","C","5",4070,2,3,2.04124145231932,NA,NA,0.0277722674072605,0.0740225961475812,1.02856559885738
"4071","WUPA","S",2010,"S12","B","A","1",4071,1,1,0,NA,NA,0.590777456003564,0.9983881460313,2.44365813826892
"4072","WUPA","S",2010,"S12","B","A","2",4072,4,10,6.97137002317335,NA,NA,0.469543924089379,0.96363971285454,1.88517022504328
"4073","WUPA","S",2010,"S12","B","A","3",4073,6,21,13.4562784071759,NA,NA,0.577540585262593,1.07120474384963,2.36709128762483
"4074","WUPA","S",2010,"S12","B","A","4",4074,3,6,4.28660704987056,NA,NA,0.278124546378284,0.576722769553323,1.38528051477981
"4075","WUPA","S",2010,"S12","B","A","5",4075,5,15,10.041580220928,NA,NA,0.689167578486659,1.32766320983737,3.21716761440563
"4076","WUPA","S",2010,"S12","B","B","1",4076,7,28,17.1846588560844,NA,NA,0.742709779805594,1.50982601351517,3.88666152659985
"4077","WUPA","S",2010,"S12","B","B","2",4077,6,21,13.4562784071759,NA,NA,0.657779401022644,1.25578189684652,2.92209178228389
"4078","WUPA","S",2010,"S12","B","B","3",4078,3,6,4.28660704987056,NA,NA,0.538562582097954,0.836073123747524,2.1671411142741
"4079","WUPA","S",2010,"S12","B","B","4",4079,7,28,17.1846588560844,NA,NA,0.72116493656286,1.40213383312539,3.58634953464323
"4080","WUPA","S",2010,"S12","B","B","5",4080,8,36,21.202725191719,NA,NA,0.695023148148148,1.48249935473487,3.27893738140417
"4081","WUPA","S",2010,"S12","B","C","1",4081,6,21,13.4562784071759,NA,NA,0.687523234865166,1.28754707485829,3.20023794271072
"4082","WUPA","S",2010,"S12","B","C","2",4082,5,15,10.041580220928,NA,NA,0.70263671875,1.36063826177426,3.36288998357964
"4083","WUPA","S",2010,"S12","B","C","3",4083,6,21,13.4562784071759,NA,NA,0.654882279918089,1.2089149103954,2.89756202539429
"4084","WUPA","S",2010,"S12","B","C","4",4084,4,10,6.97137002317335,NA,NA,0.353305785123967,0.73135570777866,1.54632587859425
"4085","WUPA","S",2010,"S12","B","C","5",4085,5,15,10.041580220928,NA,NA,0.717144402379665,1.37183686769814,3.53537284894837
"4086","WUPA","S",2013,"S12","B","A","1",4086,4,10,6.97137002317335,NA,NA,0.70910830056329,1.30813034793676,3.4377055169894
"4087","WUPA","S",2013,"S12","B","A","2",4087,6,21,13.4562784071759,NA,NA,0.70568337405031,1.38602404813454,3.39770135911703
"4088","WUPA","S",2013,"S12","B","A","3",4088,5,15,10.041580220928,NA,NA,0.588946789155679,1.12275298038119,2.43277506079069
"4089","WUPA","S",2013,"S12","B","A","4",4089,4,10,6.97137002317335,NA,NA,0.208343218169786,0.407280286634664,1.26317366686119
"4090","WUPA","S",2013,"S12","B","A","5",4090,6,21,13.4562784071759,NA,NA,0.680691690799733,1.35096701510335,3.1317694253074
"4091","WUPA","S",2013,"S12","B","B","1",4091,6,21,13.4562784071759,NA,NA,0.609187739014022,1.2238749140693,2.55877335444161
"4092","WUPA","S",2013,"S12","B","B","2",4092,5,15,10.041580220928,NA,NA,0.599246480269681,1.14712827224054,2.49529935675408
"4093","WUPA","S",2013,"S12","B","B","3",4093,4,10,6.97137002317335,NA,NA,0.68703943596169,1.21890860862924,3.19529076474181
"4094","WUPA","S",2013,"S12","B","B","4",4094,5,15,10.041580220928,NA,NA,0.795629372369115,1.65049437312317,4.89307104250864
"4095","WUPA","S",2013,"S12","B","B","5",4095,7,28,17.1846588560844,NA,NA,0.581034793582117,1.13054863954825,2.3868330464716
"4096","WUPA","S",2013,"S12","B","C","1",4096,6,21,13.4562784071759,NA,NA,0.695592286501377,1.38533110672458,3.28506787330317
"4097","WUPA","S",2013,"S12","B","C","2",4097,4,10,6.97137002317335,NA,NA,0.48804012345679,0.997392859477046,1.95327807083647
"4098","WUPA","S",2013,"S12","B","C","3",4098,7,28,17.1846588560844,NA,NA,0.788889006779913,1.64964730973348,4.73684475046489
"4099","WUPA","S",2013,"S12","B","C","4",4099,3,6,4.28660704987056,NA,NA,0.467542548855984,0.756489586321659,1.87808433866676
"4100","WUPA","S",2013,"S12","B","C","5",4100,6,21,13.4562784071759,NA,NA,0.325555293005671,0.734132944690091,1.48270123500044
"4101","WUPA","S",2015,"S12","B","A","1",4101,4,10,6.97137002317335,NA,NA,0.4125,0.869217497483112,1.70212765957447
"4102","WUPA","S",2015,"S12","B","A","2",4102,5,15,10.041580220928,NA,NA,0.763871173469388,1.52672142324603,4.23497636731938
"4103","WUPA","S",2015,"S12","B","A","3",4103,6,21,13.4562784071759,NA,NA,0.531864887438572,0.947971028275185,2.13613543006514
"4104","WUPA","S",2015,"S12","B","A","4",4104,3,6,4.28660704987056,NA,NA,0.0157785336356764,0.051789288044909,1.01603148699242
"4105","WUPA","S",2015,"S12","B","A","5",4105,4,10,6.97137002317335,NA,NA,0.6452217656892,1.20254127642445,2.81866220441235
"4106","WUPA","S",2015,"S12","B","B","1",4106,7,28,17.1846588560844,NA,NA,0.609187739014022,1.2238749140693,2.55877335444161
"4107","WUPA","S",2015,"S12","B","B","2",4107,4,10,6.97137002317335,NA,NA,0.578239138792772,1.00239578075422,2.37101185050137
"4108","WUPA","S",2015,"S12","B","B","3",4108,3,6,4.28660704987056,NA,NA,0.472183748845799,0.781360901440134,1.89459873168598
"4109","WUPA","S",2015,"S12","B","B","4",4109,4,10,6.97137002317335,NA,NA,0.596442504794022,1.15316929552358,2.47796165820088
"4110","WUPA","S",2015,"S12","B","B","5",4110,7,28,17.1846588560844,NA,NA,0.368221193781892,0.811129326918979,1.5828324567994
"4111","WUPA","S",2015,"S12","B","C","1",4111,6,21,13.4562784071759,NA,NA,0.467339877127322,0.920447380498263,1.8773697467851
"4112","WUPA","S",2015,"S12","B","C","2",4112,5,15,10.041580220928,NA,NA,0.723991980396525,1.43232599577131,3.62308313155771
"4113","WUPA","S",2015,"S12","B","C","3",4113,6,21,13.4562784071759,NA,NA,0.599840087531036,1.12415264520066,2.49900094647176
"4114","WUPA","S",2015,"S12","B","C","4",4114,5,15,10.041580220928,NA,NA,0.301173519663173,0.544834701670366,1.43097038841174
"4115","WUPA","S",2015,"S12","B","C","5",4115,7,28,17.1846588560844,NA,NA,0.719676333920846,1.49557999194814,3.56730494426979
"4116","WUPA","S",2019,"S12","B","A","1",4116,2,3,2.04124145231932,NA,NA,0.496900826446281,0.976529745722777,1.98767967145791
"4117","WUPA","S",2019,"S12","B","A","2",4117,5,15,10.041580220928,NA,NA,0.657282390117782,1.17854627408714,2.91785414920369
"4118","WUPA","S",2019,"S12","B","A","3",4118,6,21,13.4562784071759,NA,NA,0.5928891184573,1.13455896625808,2.45633326284627
"4119","WUPA","S",2019,"S12","B","A","4",4119,5,15,10.041580220928,NA,NA,0.160693039857228,0.385863941573131,1.19145920085054
"4120","WUPA","S",2019,"S12","B","A","5",4120,7,28,17.1846588560844,NA,NA,0.755143807902014,1.51868183690552,4.08402986026925
"4121","WUPA","S",2019,"S12","B","B","1",4121,6,21,13.4562784071759,NA,NA,0.692687808844686,1.26608288211909,3.25401994707918
"4122","WUPA","S",2019,"S12","B","B","2",4122,5,15,10.041580220928,NA,NA,0.657779401022644,1.25578189684652,2.92209178228389
"4123","WUPA","S",2019,"S12","B","B","3",4123,6,21,13.4562784071759,NA,NA,0.517355371900826,0.971560863895251,2.07191780821918
"4124","WUPA","S",2019,"S12","B","B","4",4124,8,36,21.202725191719,NA,NA,0.59895980552886,1.17550008269713,2.49351564702566
"4125","WUPA","S",2019,"S12","B","B","5",4125,10,55,30.0340715612362,NA,NA,0.484848484848485,1.15676738341814,1.94117647058824
"4126","WUPA","S",2019,"S12","B","C","1",4126,7,28,17.1846588560844,NA,NA,0.664835679285915,1.23444830778409,2.98361113697737
"4127","WUPA","S",2019,"S12","B","C","2",4127,8,36,21.202725191719,NA,NA,0.660932548664554,1.31601473677141,2.94926568758344
"4128","WUPA","S",2019,"S12","B","C","3",4128,5,15,10.041580220928,NA,NA,0.672881808472766,1.14817117641557,3.0569990477486
"4129","WUPA","S",2019,"S12","B","C","4",4129,5,15,10.041580220928,NA,NA,0.54005795285457,1.00232850876494,2.17418695726205
"4130","WUPA","S",2019,"S12","B","C","5",4130,7,28,17.1846588560844,NA,NA,0.611303344867359,1.29873559554845,2.5727002967359
"4131","WUPA","S",2021,"S12","B","A","1",4131,4,10,6.97137002317335,NA,NA,0.641975308641975,1.30309240376172,2.79310344827586
"4132","WUPA","S",2021,"S12","B","A","2",4132,6,21,13.4562784071759,NA,NA,0.654545454545455,1.37027593593542,2.89473684210526
"4133","WUPA","S",2021,"S12","B","A","3",4133,6,21,13.4562784071759,NA,NA,0.440992865636147,0.852542241106984,1.78888593459186
"4134","WUPA","S",2021,"S12","B","A","4",4134,3,6,4.28660704987056,NA,NA,0.490173814306926,0.839360187651737,1.96145280109645
"4135","WUPA","S",2021,"S12","B","A","5",4135,7,28,17.1846588560844,NA,NA,0.726714880561034,1.42303346295485,3.65918203688853
"4136","WUPA","S",2021,"S12","B","B","1",4136,6,21,13.4562784071759,NA,NA,0.686470938305892,1.41939601494547,3.18949699462196
"4137","WUPA","S",2021,"S12","B","B","2",4137,3,6,4.28660704987056,NA,NA,0.644470868014269,1.225162497322,2.81270903010033
"4138","WUPA","S",2021,"S12","B","B","3",4138,5,15,10.041580220928,NA,NA,0.646187775677379,1.21553581081987,2.82635796972395
"4139","WUPA","S",2021,"S12","B","B","4",4139,6,21,13.4562784071759,NA,NA,0.738920394875026,1.52200711121122,3.83024939662108
"4140","WUPA","S",2021,"S12","B","B","5",4140,5,15,10.041580220928,NA,NA,0.657282390117782,1.17854627408714,2.91785414920369
"4141","WUPA","S",2021,"S12","B","C","1",4141,5,15,10.041580220928,NA,NA,0.728172925975124,1.37554797978283,3.67880941803643
"4142","WUPA","S",2021,"S12","B","C","2",4142,4,10,6.97137002317335,NA,NA,0.693337299226651,1.29155884809802,3.26091173617847
"4143","WUPA","S",2021,"S12","B","C","3",4143,6,21,13.4562784071759,NA,NA,0.753921038399135,1.56278912400499,4.06373626373626
"4144","WUPA","S",2021,"S12","B","C","4",4144,4,10,6.97137002317335,NA,NA,0.552170035671819,0.960044144469701,2.23299037504149
"4145","WUPA","S",2021,"S12","B","C","5",4145,4,10,6.97137002317335,NA,NA,0.185090896052207,0.374185146961836,1.22713072556871
"4146","WUPA","S",2010,"S13","C","A","1",4146,1,1,0,NA,NA,0,0,1
"4147","WUPA","S",2010,"S13","C","A","2",4147,1,1,0,NA,NA,0,0,1
"4148","WUPA","S",2010,"S13","C","A","3",4148,1,1,0,NA,NA,0,0,1
"4149","WUPA","S",2010,"S13","C","A","4",4149,1,1,0,NA,NA,0,0,1
"4150","WUPA","S",2010,"S13","C","A","5",4150,0,0,NA,NA,NA,1,0,Inf
"4151","WUPA","S",2010,"S13","C","B","1",4151,2,3,2.04124145231932,NA,NA,0.0624349635796047,0.142505867392738,1.06659267480577
"4152","WUPA","S",2010,"S13","C","B","2",4152,1,1,0,NA,NA,0,0,1
"4153","WUPA","S",2010,"S13","C","B","3",4153,1,1,0,NA,NA,0,0,1
"4154","WUPA","S",2010,"S13","C","B","4",4154,2,3,2.04124145231932,NA,NA,0.5,0.693147180559945,2
"4155","WUPA","S",2010,"S13","C","B","5",4155,2,3,2.04124145231932,NA,NA,0.433884297520661,0.625491359725573,1.76642335766423
"4156","WUPA","S",2010,"S13","C","C","1",4156,0,0,NA,NA,NA,1,0,Inf
"4157","WUPA","S",2010,"S13","C","C","2",4157,1,1,0,NA,NA,0,0,1
"4158","WUPA","S",2010,"S13","C","C","3",4158,1,1,0,NA,NA,0,0,1
"4159","WUPA","S",2010,"S13","C","C","4",4159,1,1,0,NA,NA,0,0,1
"4160","WUPA","S",2010,"S13","C","C","5",4160,1,1,0,NA,NA,0,0,1
"4161","WUPA","S",2015,"S13","C","A","1",4161,0,0,NA,NA,NA,1,0,Inf
"4162","WUPA","S",2015,"S13","C","A","2",4162,1,1,0,NA,NA,0,0,1
"4163","WUPA","S",2015,"S13","C","A","3",4163,1,1,0,NA,NA,0,0,1
"4164","WUPA","S",2015,"S13","C","A","4",4164,1,1,0,NA,NA,0,0,1
"4165","WUPA","S",2015,"S13","C","A","5",4165,0,0,NA,NA,NA,1,0,Inf
"4166","WUPA","S",2015,"S13","C","B","1",4166,3,6,4.28660704987056,NA,NA,0.315558802045289,0.562634716286576,1.46104589114194
"4167","WUPA","S",2015,"S13","C","B","2",4167,0,0,NA,NA,NA,1,0,Inf
"4168","WUPA","S",2015,"S13","C","B","3",4168,1,1,0,NA,NA,0,0,1
"4169","WUPA","S",2015,"S13","C","B","4",4169,2,3,2.04124145231932,NA,NA,0.5,0.693147180559945,2
"4170","WUPA","S",2015,"S13","C","B","5",4170,2,3,2.04124145231932,NA,NA,0.341796875,0.525321319515595,1.51928783382789
"4171","WUPA","S",2015,"S13","C","C","1",4171,0,0,NA,NA,NA,1,0,Inf
"4172","WUPA","S",2015,"S13","C","C","2",4172,1,1,0,NA,NA,0,0,1
"4173","WUPA","S",2015,"S13","C","C","3",4173,1,1,0,NA,NA,0,0,1
"4174","WUPA","S",2015,"S13","C","C","4",4174,1,1,0,NA,NA,0,0,1
"4175","WUPA","S",2015,"S13","C","C","5",4175,1,1,0,NA,NA,0,0,1
"4176","WUPA","S",2017,"S13","C","A","1",4176,0,0,NA,NA,NA,1,0,Inf
"4177","WUPA","S",2017,"S13","C","A","2",4177,1,1,0,NA,NA,0,0,1
"4178","WUPA","S",2017,"S13","C","A","3",4178,1,1,0,NA,NA,0,0,1
"4179","WUPA","S",2017,"S13","C","A","4",4179,1,1,0,NA,NA,0,0,1
"4180","WUPA","S",2017,"S13","C","A","5",4180,0,0,NA,NA,NA,1,0,Inf
"4181","WUPA","S",2017,"S13","C","B","1",4181,2,3,2.04124145231932,NA,NA,0.244897959183673,0.410116318288409,1.32432432432432
"4182","WUPA","S",2017,"S13","C","B","2",4182,0,0,NA,NA,NA,1,0,Inf
"4183","WUPA","S",2017,"S13","C","B","3",4183,1,1,0,NA,NA,0,0,1
"4184","WUPA","S",2017,"S13","C","B","4",4184,2,3,2.04124145231932,NA,NA,0.42,0.610864302054894,1.72413793103448
"4185","WUPA","S",2017,"S13","C","B","5",4185,3,6,4.28660704987056,NA,NA,0.197059307759527,0.362905733691659,1.24542199649848
"4186","WUPA","S",2017,"S13","C","C","1",4186,0,0,NA,NA,NA,1,0,Inf
"4187","WUPA","S",2017,"S13","C","C","2",4187,1,1,0,NA,NA,0,0,1
"4188","WUPA","S",2017,"S13","C","C","3",4188,0,0,NA,NA,NA,1,0,Inf
"4189","WUPA","S",2017,"S13","C","C","4",4189,1,1,0,NA,NA,0,0,1
"4190","WUPA","S",2017,"S13","C","C","5",4190,1,1,0,NA,NA,0,0,1
"4191","WUPA","S",2021,"S13","C","A","1",4191,0,0,NA,NA,NA,1,0,Inf
"4192","WUPA","S",2021,"S13","C","A","2",4192,1,1,0,NA,NA,0,0,1
"4193","WUPA","S",2021,"S13","C","A","3",4193,1,1,0,NA,NA,0,0,1
"4194","WUPA","S",2021,"S13","C","A","4",4194,1,1,0,NA,NA,0,0,1
"4195","WUPA","S",2021,"S13","C","A","5",4195,0,0,NA,NA,NA,1,0,Inf
"4196","WUPA","S",2021,"S13","C","B","1",4196,3,6,4.28660704987056,NA,NA,0.568047337278107,0.911017539712563,2.31506849315069
"4197","WUPA","S",2021,"S13","C","B","2",4197,0,0,NA,NA,NA,1,0,Inf
"4198","WUPA","S",2021,"S13","C","B","3",4198,1,1,0,NA,NA,0,0,1
"4199","WUPA","S",2021,"S13","C","B","4",4199,2,3,2.04124145231932,NA,NA,0.5,0.693147180559945,2
"4200","WUPA","S",2021,"S13","C","B","5",4200,2,3,2.04124145231932,NA,NA,0.191326530612245,0.340499778471299,1.23659305993691
"4201","WUPA","S",2021,"S13","C","C","1",4201,1,1,0,NA,NA,0,0,1
"4202","WUPA","S",2021,"S13","C","C","2",4202,1,1,0,NA,NA,0,0,1
"4203","WUPA","S",2021,"S13","C","C","3",4203,0,0,NA,NA,NA,1,0,Inf
"4204","WUPA","S",2021,"S13","C","C","4",4204,1,1,0,NA,NA,0,0,1
"4205","WUPA","S",2021,"S13","C","C","5",4205,1,1,0,NA,NA,0,0,1
"4206","WUPA","S",2010,"S14","B","A","1",4206,2,3,2.04124145231932,NA,NA,0.00234741459898546,0.00910202626819452,1.00235293791981
"4207","WUPA","S",2010,"S14","B","A","2",4207,3,6,4.28660704987056,NA,NA,0.0162189614255039,0.0507524414950071,1.01648635294802
"4208","WUPA","S",2010,"S14","B","A","3",4208,3,6,4.28660704987056,NA,NA,0.00468657012497531,0.0181840654892831,1.00470863748474
"4209","WUPA","S",2010,"S14","B","A","4",4209,3,6,4.28660704987056,NA,NA,0.0162189614255039,0.0507524414950071,1.01648635294802
"4210","WUPA","S",2010,"S14","B","A","5",4210,6,21,13.4562784071759,NA,NA,0.0342811320124295,0.109605795148707,1.03549804518562
"4211","WUPA","S",2010,"S14","B","B","1",4211,4,10,6.97137002317335,NA,NA,0.0260398632271467,0.0797335169249562,1.02673606674851
"4212","WUPA","S",2010,"S14","B","B","2",4212,3,6,4.28660704987056,NA,NA,0.050677812447293,0.126528544464979,1.05338315390893
"4213","WUPA","S",2010,"S14","B","B","3",4213,3,6,4.28660704987056,NA,NA,0.0856829891679176,0.200539748470558,1.09371256156543
"4214","WUPA","S",2010,"S14","B","B","4",4214,4,10,6.97137002317335,NA,NA,0.0964438791860279,0.2144056685463,1.10673811727283
"4215","WUPA","S",2010,"S14","B","B","5",4215,4,10,6.97137002317335,NA,NA,0.0700865380165674,0.165993849077571,1.0753688820324
"4216","WUPA","S",2010,"S14","B","C","1",4216,4,10,6.97137002317335,NA,NA,0.0185094625654066,0.0597306101207407,1.01885852370394
"4217","WUPA","S",2010,"S14","B","C","2",4217,3,6,4.28660704987056,NA,NA,0.00468657012497531,0.0181840654892831,1.00470863748474
"4218","WUPA","S",2010,"S14","B","C","3",4218,5,15,10.041580220928,NA,NA,0.0207919705209919,0.0686892317897547,1.02123345591034
"4219","WUPA","S",2010,"S14","B","C","4",4219,3,6,4.28660704987056,NA,NA,0.00662796216377304,0.024580048083426,1.00667218515453
"4220","WUPA","S",2010,"S14","B","C","5",4220,3,6,4.28660704987056,NA,NA,0.0363087967827445,0.096365682144143,1.03767679590882
"4221","WUPA","S",2015,"S14","B","A","1",4221,2,3,2.04124145231932,NA,NA,0.00332224993840002,0.0123090890615174,1.0033333240741
"4222","WUPA","S",2015,"S14","B","A","2",4222,2,3,2.04124145231932,NA,NA,0.0196059209881385,0.0555460752688918,1.01999800019998
"4223","WUPA","S",2015,"S14","B","A","3",4223,2,3,2.04124145231932,NA,NA,0.0049750934384738,0.0174381882961134,1.0049999687502
"4224","WUPA","S",2015,"S14","B","A","4",4224,2,3,2.04124145231932,NA,NA,0.0196059209881385,0.0555460752688918,1.01999800019998
"4225","WUPA","S",2015,"S14","B","A","5",4225,4,10,6.97137002317335,NA,NA,0.134646167412704,0.308548005955844,1.15559666155303
"4226","WUPA","S",2015,"S14","B","B","1",4226,3,6,4.28660704987056,NA,NA,0.0228308395463145,0.0676583628139363,1.0233642653394
"4227","WUPA","S",2015,"S14","B","B","2",4227,3,6,4.28660704987056,NA,NA,0.0228308395463145,0.0676583628139363,1.0233642653394
"4228","WUPA","S",2015,"S14","B","B","3",4228,6,21,13.4562784071759,NA,NA,0.0748520710059172,0.210236299165797,1.08090821874001
"4229","WUPA","S",2015,"S14","B","B","4",4229,5,15,10.041580220928,NA,NA,0.235170717592593,0.47840593940402,1.30748132034427
"4230","WUPA","S",2015,"S14","B","B","5",4230,5,15,10.041580220928,NA,NA,0.161099643460311,0.353058414695109,1.19203668493457
"4231","WUPA","S",2015,"S14","B","C","1",4231,2,3,2.04124145231932,NA,NA,0.0363087967827445,0.096365682144143,1.03767679590882
"4232","WUPA","S",2015,"S14","B","C","2",4232,3,6,4.28660704987056,NA,NA,0.00662796216377304,0.024580048083426,1.00667218515453
"4233","WUPA","S",2015,"S14","B","C","3",4233,3,6,4.28660704987056,NA,NA,0.00991312096235264,0.0347958228399346,1.01001237484531
"4234","WUPA","S",2015,"S14","B","C","4",4234,3,6,4.28660704987056,NA,NA,0.00991312096235264,0.0347958228399346,1.01001237484531
"4235","WUPA","S",2015,"S14","B","C","5",4235,3,6,4.28660704987056,NA,NA,0.133827875603598,0.268841871326352,1.15450494403391
"4236","WUPA","S",2019,"S14","B","A","1",4236,2,3,2.04124145231932,NA,NA,0.00234741459898546,0.00910202626819452,1.00235293791981
"4237","WUPA","S",2019,"S14","B","A","2",4237,3,6,4.28660704987056,NA,NA,0.0162189614255039,0.0507524414950071,1.01648635294802
"4238","WUPA","S",2019,"S14","B","A","3",4238,3,6,4.28660704987056,NA,NA,0.0162189614255039,0.0507524414950071,1.01648635294802
"4239","WUPA","S",2019,"S14","B","A","4",4239,3,6,4.28660704987056,NA,NA,0.00468657012497531,0.0181840654892831,1.00470863748474
"4240","WUPA","S",2019,"S14","B","A","5",4240,7,28,17.1846588560844,NA,NA,0.0662014671676509,0.198787662326727,1.07089480743437
"4241","WUPA","S",2019,"S14","B","B","1",4241,4,10,6.97137002317335,NA,NA,0.00701750528099565,0.0272461863407906,1.00706709868333
"4242","WUPA","S",2019,"S14","B","B","2",4242,5,15,10.041580220928,NA,NA,0.0448864178930281,0.133905503455897,1.04699589528819
"4243","WUPA","S",2019,"S14","B","B","3",4243,5,15,10.041580220928,NA,NA,0.067709187400307,0.185724639765445,1.07262668095109
"4244","WUPA","S",2019,"S14","B","B","4",4244,6,21,13.4562784071759,NA,NA,0.129003863269597,0.330203572796402,1.14811071809556
"4245","WUPA","S",2019,"S14","B","B","5",4245,7,28,17.1846588560844,NA,NA,0.323198216656559,0.645143218364948,1.47753747790075
"4246","WUPA","S",2019,"S14","B","C","1",4246,5,15,10.041580220928,NA,NA,0.0864284555154368,0.231903765549476,1.09460502139895
"4247","WUPA","S",2019,"S14","B","C","2",4247,4,10,6.97137002317335,NA,NA,0.0185094625654066,0.0597306101207407,1.01885852370394
"4248","WUPA","S",2019,"S14","B","C","3",4248,5,15,10.041580220928,NA,NA,0.0207919705209919,0.0686892317897547,1.02123345591034
"4249","WUPA","S",2019,"S14","B","C","4",4249,3,6,4.28660704987056,NA,NA,0.033878864345695,0.0939817956181206,1.03506689078151
"4250","WUPA","S",2019,"S14","B","C","5",4250,3,6,4.28660704987056,NA,NA,0.345881736396192,0.544774779176693,1.52877553745493
"4251","WUPA","S",2021,"S14","B","A","1",4251,2,3,2.04124145231932,NA,NA,0.00332224993840002,0.0123090890615174,1.0033333240741
"4252","WUPA","S",2021,"S14","B","A","2",4252,2,3,2.04124145231932,NA,NA,0.0196059209881385,0.0555460752688918,1.01999800019998
"4253","WUPA","S",2021,"S14","B","A","3",4253,2,3,2.04124145231932,NA,NA,0.0291198524594141,0.0769532195560156,1.02999325151841
"4254","WUPA","S",2021,"S14","B","A","4",4254,2,3,2.04124145231932,NA,NA,0.0475907198096372,0.114665282202907,1.04996876951905
"4255","WUPA","S",2021,"S14","B","A","5",4255,3,6,4.28660704987056,NA,NA,0.18634010857215,0.391911375852553,1.22901474010861
"4256","WUPA","S",2021,"S14","B","B","1",4256,2,3,2.04124145231932,NA,NA,0.0696762955436203,0.15549160008678,1.07489467935715
"4257","WUPA","S",2021,"S14","B","B","2",4257,4,10,6.97137002317335,NA,NA,0.229843751896951,0.456863025059988,1.29843782019957
"4258","WUPA","S",2021,"S14","B","B","3",4258,4,10,6.97137002317335,NA,NA,0.413747254017806,0.663191095404609,1.70574893994675
